Area Number,Baseline,Dislike roads,Dislike camps,Dislike picnic,Dislike gates,Dislike all,Like border,Like dams,Like water,Like all
81,1,0.5,0.5,0.5,0.5,0.0625,0.9666150761905035,0.8171913855054196,0.8215516004960206,0.648951424950031
82,1,0.5,0.5,0.5,0.5,0.0625,0.9831533052627476,0.8371815639748306,0.8379461383686291,0.6896948822929112
83,1,0.5,0.5,0.5,0.5,0.0625,0.9996915343349908,0.8571689925613605,0.8519153051333538,0.7300101313054688
84,1,0.5,0.5,0.5,0.5,0.0625,0.9838042503393238,0.8771523290322838,0.8627167175587148,0.7444781040326507
85,1,0.5,0.5,0.5,0.5,0.0625,0.967319162161844,0.897129188598287,0.8695610394783522,0.7546139874650171
86,1,0.5,0.5,0.5,0.5,0.0625,0.9508340739843668,0.9170948890917904,0.8718128508544096,0.7602252257096075
87,1,0.5,0.5,0.5,0.5,0.0625,0.9343489858068889,0.9370388136153884,0.8800081104603846,0.7704658142241781
88,1,0.5,0.5,0.5,0.5,0.0625,0.9178638976294079,0.9569307004095415,0.9049883765138605,0.7948803796259392
89,1,0.5,0.5,0.5,0.5,0.0625,0.9013788094519282,0.9766372488035375,0.9299545601794309,0.8186577105631103
90,1,0.5,0.5,0.5,0.5,0.0625,0.8848937212744492,0.9939442820637796,0.9548832771376015,0.8398533151934686
91,1,0.5,0.5,0.5,0.5,0.0625,0.8684086330969698,0.9819023400413704,0.9796364609159428,0.8353286325318972
92,1,0.5,0.5,0.5,0.5,0.0625,0.8519235449194923,0.9623386289119278,0.9933796702337825,0.8144113320430783
93,1,0.5,0.5,0.5,0.5,0.0625,0.8354384567420146,0.9424740715112894,0.9696193514157683,0.7634579965745613
94,1,0.5,0.5,0.5,0.5,0.0625,0.8189533685645352,0.9225397777905109,0.9447538340643995,0.7137776378666129
95,1,0.5,0.5,0.5,0.5,0.0625,0.802468280387056,0.9025785465054098,0.9198046516762397,0.6662059128329698
96,1,0.5,0.5,0.5,0.5,0.0625,0.7859831922095757,0.882604117715933,0.9033317381645188,0.6266520684616305
97,1,0.5,0.5,0.5,0.5,0.0625,0.7694981040321023,0.8626222479674841,0.9147175788171826,0.6071768913614937
98,1,0.5,0.5,0.5,0.5,0.0625,0.7530130158546195,0.8426357717593886,0.9196792064325021,0.583550898902518
99,1,0.5,0.44566344583891554,0.5,0.5,0.05570793072986444,0.7365279276771413,0.8226462464281667,0.9170556307165714,0.555645781239209
100,1,0.5,0.39298316238226905,0.5,0.5,0.04912289529778363,0.7200428394996604,0.8026545985276714,0.9074899631805426,0.5244799186205423
101,1,0.4736576028295167,0.34361042602770353,0.5,0.5,0.04068842267487775,0.7035577513221823,0.787721029870686,0.8928251641995626,0.49481016687960494
102,1,0.40322964506546277,0.29918720533118315,0.5,0.5,0.030160287653455176,0.6870726631447011,0.806852983484793,0.8748409653865904,0.48498263613060943
103,1,0.32754125341482365,0.2622410013572323,0.5,0.5,0.021473686570326583,0.6709087468450974,0.8257898429531407,0.8547652849285965,0.4735652934287434
104,1,0.23151035395589709,0.23630531469227756,0.5,0.5,0.013676781761517206,0.6563980675551113,0.8444603341656602,0.8607857759342317,0.4771353903422283
105,1,0.13687349986090613,0.22521669722907767,0.5,0.5,0.007706549394214475,0.6418873882651184,0.8627557051188557,0.8772465256692119,0.4858121134433653
106,1,0.04434050113783217,0.23112208823416153,0.5,0.5,0.0025620173040812465,0.6273767089751241,0.8805035343326558,0.8904270528901956,0.4918785017342619
107,1,0.05023919582044001,0.25283349981495223,0.5,0.5,0.0031755379267926417,0.6128660296851337,0.8974192311563614,0.8990344315304761,0.4944669245492093
108,1,0.14750809162036205,0.2867832589040695,0.5,0.5,0.010575712807401874,0.5983553503951408,0.9130159614290254,0.901857953483636,0.4926922017903286
109,1,0.2460674072643843,0.3292066168025968,0.5,0.5,0.02025175466272367,0.583844671105153,0.9264498008453881,0.8987534513870461,0.48613823973376724
110,1,0.26470527629248103,0.3772556898252958,0.5,0.5,0.02496539290202886,0.5693347496822286,0.9363365047672754,0.9122357454831871,0.4863027588212947
111,1,0.2676245267192194,0.4290445366911483,0.5,0.5,0.028705710268358827,0.5548264446772282,0.9408692173668101,0.9199733473413226,0.4802436797581411
112,1,0.29761102561480723,0.4833726030956666,0.5,0.5,0.03596425404035012,0.5424634763250203,0.9579545582326718,0.9202756881458926,0.47822619385732273
113,1,0.28871776954344297,0.5,0.5,0.5,0.03608972119293037,0.5571258586955148,0.9758385854315834,0.9130651585066745,0.4964014870929045
114,1,0.28428532815124175,0.5,0.5,0.5,0.03553566601890522,0.5716416276861832,0.9858674583147892,0.8999531738118184,0.5071802011971124
115,1,0.30188294440053254,0.5,0.5,0.5,0.03773536805006657,0.5859953614003117,0.975187029298745,0.8829057294519256,0.5045409604306141
116,1,0.286273592751083,0.5,0.5,0.5,0.035784199093885374,0.6001696084733888,0.9572023564251632,0.8771342639361779,0.5038993930281352
117,1,0.2497106075970616,0.5,0.5,0.5,0.0312138259496327,0.6141445882844836,0.9379710303479447,0.9021029343419977,0.5196562440051831
118,1,0.23735294977456206,0.5,0.5,0.5,0.029669118721820258,0.6278978486120712,0.9183694428744142,0.9270501416698526,0.5345762308035273
119,1,0.2506634748531203,0.5,0.5,0.5,0.03133293435664004,0.6414038776834587,0.8986121178977935,0.9519424491226318,0.5486742079103154
120,1,0.2461625573492488,0.5,0.5,0.5,0.0307703196686561,0.6546336693177115,0.8787751782112749,0.9766039626801208,0.5618166448774504
121,1,0.23292516321435175,0.5,0.5,0.5,0.02911564540179397,0.6675542429914382,0.8588921965366685,0.9940652777473905,0.5699544147517688
122,1,0.23499560286647986,0.5,0.5,0.5,0.029374450358309982,0.6829539949694334,0.8389802279880406,0.9721959122760974,0.5570535760250799
123,1,0.2657490049045528,0.5,0.5,0.5,0.0332186256130691,0.6985616219790034,0.8190488415087658,0.9474556029618717,0.5420924905905379
124,1,0.317188929710146,0.5,0.5,0.5,0.03964861621376825,0.714049693587208,0.7991038165124633,0.9225483374869006,0.5264059294494637
125,1,0.34721102759489214,0.5,0.5,0.5,0.04340137844936152,0.729397680559154,0.7791488480437692,0.8975958673100306,0.5101121351995372
126,1,0.3852948687318221,0.5,0.5,0.5,0.048161858591477764,0.7445803288869159,0.7882700642907075,0.8726247561025801,0.5121699829439804
127,1,0.44125470707617204,0.5,0.5,0.5,0.055156838384521505,0.7595663146482566,0.80726447256299,0.84764416938013,0.5197507385331607
128,1,0.43008951849564203,0.5,0.5,0.5,0.053761189811955254,0.7743164576942219,0.8260333325105473,0.8226581112939995,0.5261813450179077
129,1,0.4360147597909264,0.5,0.5,0.5,0.0545018449738658,0.7887813430610378,0.8444949542350833,0.7976686088226683,0.5313445007306083
130,1,0.4493872692697125,0.5,0.5,0.5,0.056173408658714064,0.8028981573752492,0.8625255037495633,0.7726767978808673,0.5350942424271744
131,1,0.46918759392882514,0.5,0.5,0.5,0.05864844924110314,0.8165865129043034,0.8799306243029854,0.7476833644254922,0.5372400159516795
132,1,0.4959908985440388,0.5,0.5,0.5,0.06199886231800485,0.8297430363048657,0.8963946292838305,0.7226887471565957,0.5375194138646087
133,1,0.5,0.5,0.5,0.5,0.0625,0.8422451219910485,0.9113913621468177,0.6976932397058846,0.535559746655683
134,1,0.5,0.5,0.5,0.5,0.0625,0.8544822644087441,0.9240466685183689,0.6726970460178108,0.5311491357350312
135,1,0.5,0.5,0.5,0.5,0.0625,0.8667194068264431,0.9330199550304566,0.6477003121610695,0.5237735457674441
136,1,0.5,0.5,0.5,0.5,0.0625,0.8789565492441377,0.9367248525479062,0.6227031454976735,0.5126966842859887
137,1,0.5,0.5,0.5,0.5,0.0625,0.8911936912401339,0.9342644529493724,0.5977056267068931,0.497656032358001
138,1,0.5,0.5,0.5,0.5,0.0625,0.9032371650519919,0.9262532712114729,0.5727078175893751,0.47914246754550993
139,1,0.5,0.5,0.5,0.5,0.0625,0.9158413793273803,0.9142328858596193,0.5477097662836699,0.45859317389426774
140,1,0.5,0.5,0.5,0.5,0.0625,0.9280443716336597,0.8996335926271501,0.522711510843684,0.43641178403951164
141,1,0.5,0.5,0.5,0.5,0.0625,0.9445002386402841,0.8834202693865906,0.5,0.41719532762764944
142,1,0.5,0.5,0.5,0.5,0.0625,0.9609736007274947,0.866178284830687,0.5,0.4161872326228554
143,1,0.5,0.5,0.5,0.5,0.0625,0.9774486625057377,0.8482578855036677,0.5,0.4145642678227526
144,1,0.5,0.5,0.5,0.5,0.0625,0.9939237242839837,0.8298733202205477,0.5,0.41241539055876086
145,1,0.5,0.5,0.5,0.5,0.0625,0.9896012139377717,0.8111601074091018,0.5,0.4013625134949702
146,1,0.5,0.5,0.5,0.5,0.0625,0.9731261521595246,0.7922070191399497,0.5,0.38545868412471307
147,1,0.5,0.5,0.5,0.5,0.0625,0.9566510903812802,0.7730741514157863,0.5,0.36978111494874744
148,1,0.5,0.5,0.5,0.5,0.0625,0.9401760286030318,0.7538034146933996,0.5,0.35435395038692236
149,1,0.5,0.5,0.5,0.5,0.0625,0.9239132713526421,0.7344248195376866,0.5,0.33927241879081893
150,1,0.5,0.5,0.5,0.5,0.0625,0.9140695472978483,0.7149603635657766,0.5,0.3267617479302372
151,1,0.5,0.5,0.5,0.5,0.0625,0.9042258232430602,0.6954265077201931,0.5,0.314411303224169
152,1,0.5,0.5,0.5,0.5,0.0625,0.8943820991882797,0.6758357976881494,0.5,0.3022277197214563
153,1,0.5,0.5,0.5,0.5,0.0625,0.884824106139382,0.6561979524181965,0.5,0.2903098833494617
154,1,0.5,0.5,0.5,0.5,0.0625,0.8743790611062661,0.6365206116127019,0.5,0.2782801473783503
155,1,0.5,0.5,0.5,0.5,0.0625,0.9190655177668169,0.7835781143662334,0.7757083434451795,0.5586338300279584
156,1,0.5,0.5,0.5,0.5,0.0625,0.9356037468390561,0.7948398344718512,0.7975787313936223,0.5931235130014116
157,1,0.5,0.5,0.5,0.5,0.0625,0.9521419759112988,0.8046977868589411,0.8186385025196331,0.6272298024041051
158,1,0.5,0.5,0.5,0.5,0.0625,0.968680204983544,0.8166894854565544,0.8385700908987805,0.6634019713405889
159,1,0.5,0.5,0.5,0.5,0.0625,0.9852184340557841,0.836618243618088,0.8569012986203687,0.7063023657275648
160,1,0.5,0.5,0.5,0.5,0.0625,0.9982433368719705,0.8565271736714875,0.8729375699876369,0.7463813018155002
161,1,0.5,0.5,0.5,0.5,0.0625,0.9817051077997305,0.876406693259921,0.885708775906653,0.7620398522471703
162,1,0.5,0.5,0.5,0.5,0.0625,0.9651668787274872,0.896239896650001,0.8940278022835149,0.7733528804556677
163,1,0.5,0.5,0.5,0.5,0.0625,0.9486286496552463,0.9159939726956585,0.8968121641230398,0.7792742807385218
164,1,0.5,0.5,0.5,0.5,0.0625,0.9320904205830042,0.93559606999792,0.893626355439521,0.7792959196102476
165,1,0.5,0.5,0.5,0.5,0.0625,0.9155521915107621,0.9548478153799005,0.9028396661444642,0.7892741820246476
166,1,0.5,0.5,0.5,0.5,0.0625,0.8990139624385216,0.9729893844530928,0.9270665679053502,0.8109339048802702
167,1,0.5,0.5,0.5,0.5,0.0625,0.8824757333662787,0.9851532182450883,0.9505182805544301,0.8263556978511402
168,1,0.5,0.5,0.5,0.5,0.0625,0.8659551364985358,0.9773884873408805,0.9712320386284334,0.8220261097162245
169,1,0.5,0.5,0.5,0.5,0.0625,0.8494700483210537,0.9599733328768274,0.9786282746681041,0.7980406226694629
170,1,0.5,0.5,0.5,0.5,0.0625,0.8329849601435814,0.9408984969967472,0.9634499564179966,0.755108043306328
171,1,0.5,0.5,0.5,0.5,0.0625,0.8164998719661056,0.9213625964728107,0.9411352335600414,0.7080089231583298
172,1,0.5,0.5,0.5,0.5,0.0625,0.8000147837886267,0.9016399735169156,0.9172702244036883,0.661650227566794
173,1,0.5,0.5,0.5,0.5,0.0625,0.7835296956111482,0.8818240786538646,0.9228084770391516,0.6376009998472584
174,1,0.5,0.5,0.5,0.5,0.0625,0.7670446074336645,0.8619550726673944,0.9376552349148407,0.6199382507477178
175,1,0.5,0.4758033061500751,0.5,0.5,0.05947541326875939,0.7505595192561858,0.8420529976906195,0.9446356771012673,0.5970200379718643
176,1,0.5,0.4176076449280034,0.5,0.5,0.052200955616000425,0.7340744310787092,0.8221289536918002,0.9408937671091467,0.5678330052033344
177,1,0.49556175703335076,0.36085454695941427,0.5,0.5,0.04470642833117028,0.7175893429012328,0.8021895789119594,0.9280841791880243,0.5342448760655399
178,1,0.4112922902966448,0.30634680187689023,0.5,0.5,0.03149951944224967,0.7011042547237433,0.7923890197031473,0.9099987566776484,0.5055473642059382
179,1,0.3324087170296816,0.2555253842168615,0.5,0.5,0.021234716284010847,0.6846191665462694,0.8119954043929031,0.8891913256279951,0.4943082308823685
180,1,0.26231578108443815,0.21107008537008726,0.5,0.5,0.01384175357685337,0.6681340783687931,0.8315092382385485,0.8669327206538305,0.4816328462684933
181,1,0.2061256911293763,0.17782137075475807,0.5,0.5,0.009163388236099392,0.6516489901913125,0.8508941797630992,0.8539885676786123,0.47352328134085525
182,1,0.10792103719582818,0.16279680235207206,0.5,0.5,0.004392299940499964,0.6351639020138313,0.8700925157734033,0.8564725959132304,0.4733307427344695
183,1,0.011554714336047323,0.17087322146848644,0.5,0.5,0.0004935978154371274,0.6191780527242046,0.8890073728230147,0.8675691463369151,0.47755678017969044
184,1,0.08447618512290755,0.19926117728744386,0.5,0.5,0.004208206025085652,0.6046673734342124,0.907464752028137,0.8745976623823166,0.479904268665806
185,1,0.1789299736837841,0.24088353146889602,0.5,0.5,0.010775320986646636,0.5901566941442183,0.9251255654660497,0.8964148438104194,0.48941475654299316
186,1,0.2010541053730876,0.2900986637195718,0.5,0.5,0.014581381826016674,0.575646014854221,0.9412667915371302,0.916743856997357,0.4967252622112626
187,1,0.16593950015498488,0.3436598516714501,0.5,0.5,0.014256686002424168,0.5611353355642367,0.9542506983014042,0.9337936097303523,0.5000126614255785
188,1,0.16966264657900637,0.39982427716412666,0.5,0.5,0.016958811257550978,0.5466246562742476,0.9608029664964939,0.9444573418227347,0.49602766547619837
189,1,0.21002008116047216,0.457634473754738,0.5,0.5,0.024028107329950008,0.5500181426072578,0.9578121313048309,0.9448938511393119,0.4977833559973568
190,1,0.19042224396500318,0.5,0.5,0.5,0.023802780495625397,0.564935054822592,0.960644562932385,0.9348970937122356,0.5073703251251406
191,1,0.1846650504220752,0.5,0.5,0.5,0.0230831313027594,0.5797204542005683,0.9658707572993358,0.9182070347036481,0.5141362873065786
192,1,0.2053798777333959,0.5,0.5,0.5,0.025672484716674486,0.5943599597326634,0.9602412275358234,0.898059870821989,0.512548755734599
193,1,0.1948348867937738,0.5,0.5,0.5,0.024354360849221726,0.6088371905787016,0.9471160254103955,0.876131155241967,0.5052117963030401
194,1,0.15446105950245465,0.5,0.5,0.5,0.01930763243780683,0.6231334450549073,0.9306265933593281,0.9003285688841367,0.5221046382543405
195,1,0.13736059391279443,0.5,0.5,0.5,0.017170074239099303,0.6372273266168413,0.9126580036324501,0.9246857214956836,0.5377700481428712
196,1,0.1530957205633769,0.5,0.5,0.5,0.01913696507042211,0.6510943101259408,0.893959540221632,0.9484239695927534,0.5520320400115428
197,1,0.14749927359439385,0.5,0.5,0.5,0.01843740919929923,0.6647062424455411,0.8748579451561399,0.9700344651555921,0.564097873575611
198,1,0.13297702092608654,0.5,0.5,0.5,0.016622127615760818,0.6780307734595878,0.8555130155651324,0.9803587259971713,0.568670952706627
199,1,0.13729086468652368,0.5,0.5,0.5,0.01716135808581546,0.6910307177426334,0.8360108434937861,0.9664794688228744,0.5583440548678983
200,1,0.1792106994496176,0.5,0.5,0.5,0.0224013374312022,0.7036633544871758,0.8164015298752311,0.9442194265327215,0.5424274704935255
201,1,0.22310445928367711,0.5,0.5,0.5,0.02788805741045964,0.7158796854772561,0.7967160778303071,0.9203173874532131,0.5249056496350352
202,1,0.25217183545750266,0.5,0.5,0.5,0.03152147943218783,0.727623689850289,0.7769746476446437,0.8958982944029081,0.5064917646281694
203,1,0.3008395480317344,0.5,0.5,0.5,0.0376049435039668,0.7388316422447039,0.7933604408905108,0.8712560235422031,0.5106952542736246
204,1,0.34495907909644685,0.5,0.5,0.5,0.04311988488705586,0.7516037537122802,0.8128708327119282,0.8464980200775661,0.5171736954380487
205,1,0.33012169700778093,0.5,0.5,0.5,0.04126521212597262,0.7658517576711543,0.8322658558584785,0.8216724805139404,0.5237276863672017
206,1,0.33691291323775197,0.5,0.5,0.5,0.042114114154718996,0.7797599964649704,0.8515002997583822,0.7968041570996277,0.5290507659695534
207,1,0.350285422716584,0.5,0.5,0.5,0.043785677839573,0.7932598866110375,0.8705025914050257,0.7719070432084021,0.5330286656290983
208,1,0.3721096282370173,0.5,0.5,0.5,0.046513703529627165,0.8062660448795514,0.8891532738698353,0.7469896379515764,0.5355124592894978
209,1,0.40297057416739923,0.5,0.5,0.5,0.050371321770924904,0.8186929398815631,0.9072400164147467,0.7220573986057162,0.536308852140097
210,1,0.45062299386917465,0.5,0.5,0.5,0.05632787423364683,0.8309300822992598,0.9243572051302951,0.6971139883788631,0.5354366691092364
